City,Latitude,Longitude
Berlin,52.516667,13.4
Bremen,53.073789,8.826754
Dortmund,51.514942,7.465997
Dusseldorf,51.228304,6.793849
Essen,51.45657,7.012282
Frankfurt,50.11552,8.684167
Hamburg,53.575323,10.01534
Hanover,52.38497,9.737141
Karlsruhe,49.009365,8.40444
Cologne,50.933333,6.95
Leipzig,51.34419,12.386504
Mannheim,49.496706,8.479547
Munich,48.15,11.583333
Norden,53.5988,7.1967
Nuremberg,49.447778,11.068333
Stuttgart,48.782343,9.180819
Ulm,48.397053,9.968956
Berlin_Hamburg_01,52.880172,12.290262
Berlin_Hamburg_02,53.233162,11.162035
Berlin_Hamburg_03,52.880172,12.290262
Berlin_Hamburg_04,53.233162,11.162035
Berlin_Hanover_01,52.485348,12.176727
Berlin_Hanover_02,52.441434,10.955545
Berlin_Hanover_03,52.485348,12.176727
Berlin_Hanover_04,52.441434,10.955545
Berlin_Leipzig_01,51.931516,12.886632
Berlin_Leipzig_02,51.931516,12.886632
Bremen_Hamburg_01,53.326032,9.417554
Bremen_Hamburg_02,53.326032,9.417554
Bremen_Hanover_01,52.730251,9.285543
Bremen_Hanover_02,52.730251,9.285543
Bremen_Norden_01,53.339071,8.016744
Bremen_Norden_02,53.339071,8.016744
Dortmund_Hanover_01,51.955418,8.590552
Dortmund_Hanover_02,51.955418,8.590552
Dortmund_Norden_01,52.209629,7.379047
Dortmund_Norden_02,52.904249,7.289335
Dortmund_Norden_03,52.209629,7.379047
Dortmund_Norden_04,52.904249,7.289335
Frankfurt_Hanover_01,50.683754,8.937806
Frankfurt_Hanover_02,51.251425,9.19766
Frankfurt_Hanover_03,51.818506,9.464007
Frankfurt_Hanover_04,50.683754,8.937806
Frankfurt_Hanover_05,51.251425,9.19766
Frankfurt_Hanover_06,51.818506,9.464007
Frankfurt_Cologne_01,50.527646,7.824598
Frankfurt_Cologne_02,50.527646,7.824598
Frankfurt_Leipzig_01,50.43359,9.591541
Frankfurt_Leipzig_02,50.744509,10.51105
Frankfurt_Leipzig_03,51.048101,11.442707
Frankfurt_Leipzig_04,50.43359,9.591541
Frankfurt_Leipzig_05,50.744509,10.51105
Frankfurt_Leipzig_06,51.048101,11.442707
Frankfurt_Nuremberg_01,49.89839,9.486183
Frankfurt_Nuremberg_02,49.675778,10.280923
Frankfurt_Nuremberg_03,49.89839,9.486183
Frankfurt_Nuremberg_04,49.675778,10.280923
Hamburg_Hanover_01,52.980228,9.874324
Hamburg_Hanover_02,52.980228,9.874324
Hanover_Leipzig_01,52.044685,10.633907
Hanover_Leipzig_02,51.697697,11.516987
Hanover_Leipzig_03,52.044685,10.633907
Hanover_Leipzig_04,51.697697,11.516987
Leipzig_Nuremberg_01,50.713721,11.935302
Leipzig_Nuremberg_02,50.081556,11.496094
Leipzig_Nuremberg_03,50.713721,11.935302
Leipzig_Nuremberg_04,50.081556,11.496094
Munich_Nuremberg_01,48.799176,11.329164
Munich_Nuremberg_02,48.799176,11.329164
Munich_Ulm_01,48.276351,10.778096
Munich_Ulm_02,48.276351,10.778096
Nuremberg_Stuttgart_01,49.118907,10.118245
Nuremberg_Stuttgart_02,49.118907,10.118245
