Node A,Node Z,Distance (km),Link_id
Berlin,Berlin_Hamburg_01,85.004,AL1
Berlin_Hamburg_01,Berlin_Hamburg_02,85.004,AL2
Berlin_Hamburg_02,Hamburg,85.004,AL3
Berlin,Berlin_Hamburg_03,85.004,AL4
Berlin_Hamburg_03,Berlin_Hamburg_04,85.004,AL5
Berlin_Hamburg_04,Hamburg,85.004,AL6
Berlin,Berlin_Hanover_01,82.875,AL7
Berlin_Hanover_01,Berlin_Hanover_02,82.875,AL8
Berlin_Hanover_02,Hanover,82.875,AL9
Berlin,Berlin_Hanover_03,82.875,AL10
Berlin_Hanover_03,Berlin_Hanover_04,82.875,AL11
Berlin_Hanover_04,Hanover,82.875,AL12
Berlin,Berlin_Leipzig_01,73.867,AL13
Berlin_Leipzig_01,Leipzig,73.867,AL14
Berlin,Berlin_Leipzig_02,73.867,AL15
Berlin_Leipzig_02,Leipzig,73.867,AL16
Bremen,Bremen_Hamburg_01,48.325,AL17
Bremen_Hamburg_01,Hamburg,48.325,AL18
Bremen,Bremen_Hamburg_02,48.325,AL19
Bremen_Hamburg_02,Hamburg,48.325,AL20
Bremen,Bremen_Hanover_01,49.052,AL21
Bremen_Hanover_01,Hanover,49.052,AL22
Bremen,Bremen_Hanover_02,49.052,AL23
Bremen_Hanover_02,Hanover,49.052,AL24
Bremen,Bremen_Norden_01,61.483,AL25
Bremen_Norden_01,Norden,61.483,AL26
Bremen,Bremen_Norden_02,61.483,AL27
Bremen_Norden_02,Norden,61.483,AL28
Dortmund,Essen,32.08,AL29
Dortmund,Essen,32.08,AL30
Dortmund,Dortmund_Hanover_01,91.627,AL31
Dortmund_Hanover_01,Hanover,91.627,AL32
Dortmund,Dortmund_Hanover_02,91.627,AL33
Dortmund_Hanover_02,Hanover,91.627,AL34
Dortmund,Cologne,73.984,AL35
Dortmund,Cologne,73.984,AL36
Dortmund,Dortmund_Norden_01,77.476,AL37
Dortmund_Norden_01,Dortmund_Norden_02,77.476,AL38
Dortmund_Norden_02,Norden,77.476,AL39
Dortmund,Dortmund_Norden_03,77.476,AL40
Dortmund_Norden_03,Dortmund_Norden_04,77.476,AL41
Dortmund_Norden_04,Norden,77.476,AL42
Dusseldorf,Essen,29.571,AL43
Dusseldorf,Essen,29.571,AL44
Dusseldorf,Cologne,34.566,AL45
Dusseldorf,Cologne,34.566,AL46
Frankfurt,Frankfurt_Hanover_01,65.692,AL47
Frankfurt_Hanover_01,Frankfurt_Hanover_02,65.692,AL48
Frankfurt_Hanover_02,Frankfurt_Hanover_03,65.692,AL49
Frankfurt_Hanover_03,Hanover,65.692,AL50
Frankfurt,Frankfurt_Hanover_04,65.692,AL51
Frankfurt_Hanover_04,Frankfurt_Hanover_05,65.692,AL52
Frankfurt_Hanover_05,Frankfurt_Hanover_06,65.692,AL53
Frankfurt_Hanover_06,Hanover,65.692,AL54
Frankfurt,Frankfurt_Cologne_01,76.315,AL55
Frankfurt_Cologne_01,Cologne,76.315,AL56
Frankfurt,Frankfurt_Cologne_02,76.315,AL57
Frankfurt_Cologne_02,Cologne,76.315,AL58
Frankfurt,Frankfurt_Leipzig_01,73.545,AL59
Frankfurt_Leipzig_01,Frankfurt_Leipzig_02,73.545,AL60
Frankfurt_Leipzig_02,Frankfurt_Leipzig_03,73.545,AL61
Frankfurt_Leipzig_03,Leipzig,73.545,AL62
Frankfurt,Frankfurt_Leipzig_04,73.545,AL63
Frankfurt_Leipzig_04,Frankfurt_Leipzig_05,73.545,AL64
Frankfurt_Leipzig_05,Frankfurt_Leipzig_06,73.545,AL65
Frankfurt_Leipzig_06,Leipzig,73.545,AL66
Frankfurt,Mannheim,70.358,AL67
Frankfurt,Mannheim,70.358,AL68
Frankfurt,Frankfurt_Nuremberg_01,62.193,AL69
Frankfurt_Nuremberg_01,Frankfurt_Nuremberg_02,62.193,AL70
Frankfurt_Nuremberg_02,Nuremberg,62.193,AL71
Frankfurt,Frankfurt_Nuremberg_03,62.193,AL72
Frankfurt_Nuremberg_03,Frankfurt_Nuremberg_04,62.193,AL73
Frankfurt_Nuremberg_04,Nuremberg,62.193,AL74
Hamburg,Hamburg_Hanover_01,66.832,AL75
Hamburg_Hanover_01,Hanover,66.832,AL76
Hamburg,Hamburg_Hanover_02,66.832,AL77
Hamburg_Hanover_02,Hanover,66.832,AL78
Hanover,Hanover_Leipzig_01,71.863,AL79
Hanover_Leipzig_01,Hanover_Leipzig_02,71.863,AL80
Hanover_Leipzig_02,Leipzig,71.863,AL81
Hanover,Hanover_Leipzig_03,71.863,AL82
Hanover_Leipzig_03,Hanover_Leipzig_04,71.863,AL83
Hanover_Leipzig_04,Leipzig,71.863,AL84
Karlsruhe,Mannheim,54.463,AL85
Karlsruhe,Mannheim,54.463,AL86
Karlsruhe,Stuttgart,62.116,AL87
Karlsruhe,Stuttgart,62.116,AL88
Leipzig,Leipzig_Nuremberg_01,76.879,AL89
Leipzig_Nuremberg_01,Leipzig_Nuremberg_02,76.879,AL90
Leipzig_Nuremberg_02,Nuremberg,76.879,AL91
Leipzig,Leipzig_Nuremberg_03,76.879,AL92
Leipzig_Nuremberg_03,Leipzig_Nuremberg_04,76.879,AL93
Leipzig_Nuremberg_04,Nuremberg,76.879,AL94
Munich,Munich_Nuremberg_01,74.577,AL95
Munich_Nuremberg_01,Nuremberg,74.577,AL96
Munich,Munich_Nuremberg_02,74.577,AL97
Munich_Nuremberg_02,Nuremberg,74.577,AL98
Munich,Munich_Ulm_01,61.296,AL99
Munich_Ulm_01,Ulm,61.296,AL100
Munich,Munich_Ulm_02,61.296,AL101
Munich_Ulm_02,Ulm,61.296,AL102
Nuremberg,Nuremberg_Stuttgart_01,78.015,AL103
Nuremberg_Stuttgart_01,Stuttgart,78.015,AL104
Nuremberg,Nuremberg_Stuttgart_02,78.015,AL105
Nuremberg_Stuttgart_02,Stuttgart,78.015,AL106
Stuttgart,Ulm,72.08,AL107
Stuttgart,Ulm,72.08,AL108
