model,query_id,query,score,reason,latency_ms,prompt_tokens,completion_tokens,total_tokens,oracle_result,model_result
qwen2.5:14b-instruct,Q001,Q1. Create a topology from CSV files and visualize the full network topology.,1,plot+value,7322.94,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""TOPOLOGY_READY""}"
qwen2.5:14b-instruct,Q002,Q2. Create a topology from CSV files (no visualization).,1,no_plot_ok,1120.66,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""TOPOLOGY_READY""}"
qwen2.5:14b-instruct,Q003,Q3. Draw the network topology from the CSV files and label each link with its distance.,1,edge_labels_on,1345.96,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": ""TOPOLOGY_READY""}"
qwen2.5:14b-instruct,Q004,Q4. Find the shortest path from Berlin to Munich and plot that path only.,1,path+hops+distance,1430.25,,,,"{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Munich_Nuremberg_01"", ""Munich""], ""hop_count"": 7, ""total_distance_km"": 527.525}","{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Munich_Nuremberg_01"", ""Munich""], ""hop_count"": 7, ""total_distance_km"": 527.525}"
qwen2.5:14b-instruct,Q005,Q5. Draw the shortest path from Berlin to Stuttgart and plot that path only.,1,path+hops+distance,1606.54,,,,"{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Nuremberg_Stuttgart_01"", ""Stuttgart""], ""hop_count"": 7, ""total_distance_km"": 534.401}","{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Nuremberg_Stuttgart_01"", ""Stuttgart""], ""hop_count"": 7, ""total_distance_km"": 534.401}"
qwen2.5:14b-instruct,Q006,Q6. Show the longest path from Berlin to Stuttgart by total distance and return hop count and total distance.,1,correct_longest,1551.91,,,,"{""path"": [""Berlin"", ""Berlin_Hanover_01"", ""Berlin_Hanover_02"", ""Hanover"", ""Hanover_Leipzig_01"", ""Hanover_Leipzig_02"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Munich_Nuremberg_01"", ""Munich"", ""Munich_Ulm_01"", ""Ulm"", ""Stuttgart""], ""hop_count"": 14, ""total_distance_km"": 1038.677, ""max_hops"": 14}","{""path"": [""Berlin"", ""Berlin_Hanover_01"", ""Berlin_Hanover_02"", ""Hanover"", ""Hanover_Leipzig_01"", ""Hanover_Leipzig_02"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Munich_Nuremberg_01"", ""Munich"", ""Munich_Ulm_01"", ""Ulm"", ""Stuttgart""], ""hop_count"": 14, ""total_distance_km"": 1038.677, ""max_hops"": 14, ""note"": ""Longest path computed among simple paths with hop_count <= max_hops.""}"
qwen2.5:14b-instruct,Q007,"Q7. Among all paths between Berlin and Stuttgart, which path has the fewest hops? Return the path and hop count.",1,correct_fewest_hops,1468.1,,,,"{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Nuremberg_Stuttgart_01"", ""Stuttgart""], ""hop_count"": 7}","{""path"": [""Berlin"", ""Berlin_Leipzig_01"", ""Leipzig"", ""Leipzig_Nuremberg_01"", ""Leipzig_Nuremberg_02"", ""Nuremberg"", ""Nuremberg_Stuttgart_01"", ""Stuttgart""], ""hop_count"": 7}"
qwen2.5:14b-instruct,Q008,Q8. Which node has the highest degree in the current topology? Return the node id and degree.,1,node+degree,974.5,,,,"{""node_id"": ""Hanover"", ""degree"": 12}","{""node_id"": ""Hanover"", ""degree"": 12}"
qwen2.5:14b-instruct,Q009,Q9. Which node has the lowest degree in the current topology? Return the node id and degree.,1,node+degree,1065.32,,,,"{""node_id"": ""Berlin_Hamburg_01"", ""degree"": 2}","{""node_id"": ""Berlin_Hamburg_01"", ""degree"": 2}"
qwen2.5:14b-instruct,Q010,"Q10. Compute the average node degree, the minimum degree, and the maximum degree.",1,missing_plot_and_value,1019.26,,,,"{""value"": ""TOPOLOGY_READY""}","{""average_degree"": 2.73972602739726, ""min_degree"": 2, ""max_degree"": 12}"
qwen2.5:14b-instruct,Q011,Q11. Count how many nodes have degree 1.,1,missing_plot_and_value,2270.97,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 0}"
qwen2.5:14b-instruct,Q012,Q12. Count how many nodes have degree ≥ 3.,1,missing_plot_and_value,1581.99,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": 13}"
qwen2.5:14b-instruct,Q013,Q13. Is there any isolated node (degree 0)? Return true or false.,1,missing_plot_and_value,1219.19,,,,"{""value"": ""TOPOLOGY_READY""}","{""value"": false}"
